"Año";"NIVEL_EDUCATIVO";"GRUPO_EDAD";"TA_Mujeres";"TA_Varones";"TD_Mujeres";"TD_Varones";"TS_Mujeres";"TS_Varones";"TNR_Mujeres";"TNR_Varones"
"1";"2017";"Primaria";"de 14 a 29 años";19,4;44;28,6;16,1;17,2;13,4;75,7;66,9
"2";"2017";"Primaria";"de 30 a 64 años";53,1;89,9;8,4;7;17,4;10,5;52,6;35,4
"3";"2017";"Primaria";"Total";37,9;68,1;13,1;9,7;17,4;11,4;57,2;45,6
"4";"2017";"Secundaria";"de 14 a 29 años";51,1;68,4;19,5;15,2;13,6;10,1;49,9;39,2
"5";"2017";"Secundaria";"de 30 a 64 años";66,7;93,2;6,5;3,5;11,3;6,5;30,8;19,7
"6";"2017";"Secundaria";"Total";60;82,7;11,3;7,6;12,2;7,7;37,8;26,7
"7";"2017";"SinInst";"de 14 a 29 años";16,5;48,7;21,5;16,7;14,5;16,4;74,3;73,6
"8";"2017";"SinInst";"de 30 a 64 años";39,1;79,1;9,5;8,5;21,6;12,9;72,7;47,2
"9";"2017";"SinInst";"Total";33,9;70,3;10,8;10,2;20,8;13,6;73;53,2
"10";"2017";"Superior";"de 14 a 29 años";88,1;92,8;7,1;5,3;10,7;9,8;23,6;21
"11";"2017";"Superior";"de 30 a 64 años";83,1;95,2;3,3;2;8,6;4,6;11,3;9,8
"12";"2017";"Superior";"Total";83,8;94,9;3,9;2,4;8,9;5,3;13,2;11,5
"13";"2017";"Total";"de 14 a 29 años";38,9;56,3;19,5;14,9;13,9;11,6;49,8;49,2
"14";"2017";"Total";"de 30 a 64 años";65,1;91,5;6,1;4,8;12,3;7,9;30,5;24,2
"15";"2017";"Total";"Total";55,3;77,3;9,6;7,7;12,8;9;35,5;31,9
"16";"2018";"Primaria";"de 14 a 29 años";20;42,4;26,6;16,6;18,1;13,6;77,4;65,3
"17";"2018";"Primaria";"de 30 a 64 años";54,6;89,2;9,7;7,2;19,6;11,3;58,1;35,8
"18";"2018";"Primaria";"Total";39,2;67,1;13,6;10;19,2;12;62;45,2
